,,Producción Institucional,,,,,,,,Análisis por autor,,,,,,,,,,,,,,,,,,,,Colaboraciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citas,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Primeros autores,,,Autorías por institución,,Primeros autores,,,Autorías por institución,,Primeros autores,,,Autorías por institución,,Primeros autores,,,Autorías por institución,,Totales,,,Totales,,,Totales,,,Totales,,,Nacional,,,Nacional,,,Nacional,,,Nacional,,,Internacional,,,Internacional,,,Internacional,,,Internacional,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,SCI,,SSCI,,AHCI,,Total,,,Total,,SCI,,,SCI,,SSCI,,,SSCI,,AHCI,,,AHCI,,Total,,,SCI,,,SSCI,,,AHCI,,,Total,,,SCI,,,SSCI,,,AHCI,,,Total,,,SCI,,,SSCI,,,AHCI,,,Total,,,,,SCI,,,,,SSCI,,,,,AHCI,,,,,,,
,,Núm.,%Nal.,Núm.,%Nal.,Núm.,%Nal.,Núm.,%Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Aut.Nal.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,%Nal.,%Inst.,Núm.,?,Núm.,%Nal.,%Inst.,Núm.,?,Núm.,%Nal.,%Inst.,Núm.,?,Núm.,%Nal.,%Inst.,Núm.,?,,,
26,UNIVERSIDAD AUTONOMA DE ZACATECAS,139,0.8,129,0.8,11,0.5,6,1.9,85,0.5,61.15,237,0.37,75,0.4,58.14,227,0.37,6,0.3,54.55,5,0.17,5,1.6,83.33,6,1.83,96,1.3,69.1,95,1.3,73.6,6,1,54.5,1,3,16.7,96,1.3,69.1,95,1.3,73.6,6,1,54.5,1,3.1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,56,0.6,40.29,134,2.4,55,0.6,42.64,133,2.4,4,0.5,36.36,5,1.3,0,0,0,0,0,,,
27,UNIVERSIDAD AUTONOMA DE CHIHUAHUA,131,0.7,116,0.7,25,1.2,0,0,63,0.3,48.09,266,0.42,54,0.3,46.55,241,0.39,13,0.6,52,34,1.17,0,0,0,0,0,108,1.4,82.4,97,1.3,83.6,19,3,76,0,0,0,108,1.4,82.4,97,1.3,83.6,19,3.1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.3,24.43,56,1.7,32,0.4,27.59,56,1.7,3,0.4,12,3,1,0,0,0,0,0,,,
28,UNIVERSIDAD AUTONOMA DE GUERRERO,124,0.7,118,0.7,12,0.6,2,0.6,80,0.4,64.52,270,0.42,74,0.4,62.71,259,0.42,12,0.6,100,21,0.72,2,0.6,100,2,0.61,76,1,61.3,74,1,62.7,5,0.8,41.7,0,0,0,76,1,61.3,74,1,62.7,5,0.8,41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0.8,56.45,196,2.8,69,0.8,58.47,195,2.8,8,1,66.67,26,3.3,0,0,0,0,0,,,
29,UNIVERSIDAD AUTONOMA DE COAHUILA,124,0.7,121,0.7,3,0.1,1,0.3,66,0.4,53.23,253,0.4,64,0.4,52.89,251,0.41,1,0,33.33,1,0.03,1,0.3,100,1,0.3,95,1.2,76.6,94,1.3,77.7,2,0.3,66.7,0,0,0,95,1.3,76.6,94,1.3,77.7,2,0.3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0.8,55.65,237,3.4,69,0.8,57.02,237,3.4,0,0,0,0,0,0,0,0,0,0,,,
30,UNIVERSIDAD JUAREZ DEL ESTADO DE DURANGO,120,0.7,118,0.7,6,0.3,1,0.3,65,0.4,54.17,239,0.37,64,0.4,54.24,238,0.39,3,0.1,50,3,0.1,1,0.3,100,1,0.3,97,1.3,80.8,96,1.3,81.4,5,0.8,83.3,0,0,0,97,1.3,80.8,96,1.3,81.4,5,0.8,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0.6,45,103,1.9,54,0.6,45.76,103,1.9,1,0.1,16.67,1,1,0,0,0,0,0,,,
31,UNIVERSIDAD AUTONOMA DE CIUDAD JUAREZ,100,0.5,96,0.6,7,0.3,1,0.3,59,0.3,59,188,0.29,55,0.3,57.29,183,0.3,6,0.3,85.71,7,0.24,1,0.3,100,2,0.61,74,1,74,72,1,75,5,0.8,71.4,0,0,0,74,1,74,72,1,75,5,0.8,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.5,49,154,3.1,49,0.6,51.04,154,3.1,3,0.4,42.86,5,1.7,0,0,0,0,0,,,
32,UNIVERSIDAD AUTONOMA AGRARIA ANTONIO NARRO,99,0.5,98,0.6,1,0,0,0,62,0.3,62.63,260,0.41,61,0.4,62.24,259,0.42,1,0,100,1,0.03,0,0,0,0,0,78,1,78.8,77,1,78.6,1,0.2,100,0,0,0,78,1,78.8,77,1,78.6,1,0.2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0.4,33.33,99,3,32,0.4,32.65,98,3.1,1,0.1,100,1,1,0,0,0,0,0,,,
33,UNIVERSIDAD AUTONOMA DE LA CIUDAD DE MEXICO,99,0.5,82,0.5,18,0.9,2,0.6,53,0.3,53.54,2,0,41,0.2,50,0,0,13,0.6,72.22,0,0,2,0.6,100,2,0.61,75,1,75.8,68,0.9,82.9,9,1.4,50,0,0,0,75,1,75.8,68,0.9,82.9,9,1.4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0.5,46.46,125,2.7,44,0.5,53.66,123,2.8,4,0.5,22.22,26,6.5,0,0,0,0,0,,,
34,UNIVERSIDAD AUTONOMA DE TAMAULIPAS,98,0.5,89,0.5,17,0.8,0,0,53,0.3,54.08,184,0.29,44,0.3,49.44,176,0.28,14,0.7,82.35,12,0.41,0,0,0,0,0,66,0.9,67.3,64,0.9,71.9,9,1.4,52.9,0,0,0,66,0.9,67.3,64,0.9,71.9,9,1.4,52.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0.4,37.76,101,2.7,30,0.3,33.71,87,2.9,9,1.1,52.94,16,1.8,0,0,0,0,0,,,
35,UNIVERSIDAD AUTONOMA DE NAYARIT,83,0.5,81,0.5,2,0.1,0,0,34,0.2,40.96,151,0.24,33,0.2,40.74,149,0.24,1,0,50,2,0.07,0,0,0,0,0,74,1,89.2,72,1,88.9,2,0.3,100,0,0,0,74,1,89.2,72,1,88.9,2,0.3,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0.4,43.37,128,3.6,36,0.4,44.44,128,3.6,0,0,0,0,0,0,0,0,0,0,,,
